fin_const,female_ownership,established_year,manager_experience,employees,sector
Moderate obstacle,0,2016,35,17,Retail services
No obstacle,20,1979,,85,Retail services
No obstacle,10,1994,15,70,Manufacturing
No obstacle,50,1965,31,84,Manufacturing
Minor obstacle,30,2011,13,100,Manufacturing
No obstacle,0,1968,20,250,Manufacturing
Minor obstacle,0,1989,35,102,Manufacturing
Moderate obstacle,3,1954,10,166,Manufacturing
No obstacle,50,2014,15,97,Manufacturing
No obstacle,100,1935,10,54,Manufacturing
Minor obstacle,50,2014,10,110,Other services
No obstacle,0,1999,25,49,Other services
No obstacle,50,1999,,80,Other services
No obstacle,0,2008,15,150,Other services
No obstacle,50,2012,5,60,Other services
No obstacle,90,2021,20,55,Other services
No obstacle,10,2011,30,180,Other services
Minor obstacle,10,1974,30,130,Manufacturing
No obstacle,0,1997,17,150,Manufacturing
Minor obstacle,30,1981,40,90,Other services
No obstacle,10,2012,20,250,Other services
No obstacle,85,1900,30,130,Other services
Major obstacle,0,2011,40,150,Other services
No obstacle,0,1987,37,130,Other services
No obstacle,20,1983,40,210,Other services
No obstacle,0,2000,,180,Other services
No obstacle,0,2019,10,84,Other services
Major obstacle,20,1999,25,172,Other services
No obstacle,80,2003,21,180,Other services
No obstacle,0,1994,30,46,Other services
Moderate obstacle,0,2000,10,200,Other services
No obstacle,0,1989,15,200,Other services
No obstacle,20,2000,,56,Other services
Minor obstacle,20,2021,10,200,Retail services
Minor obstacle,100,2013,10,5,Manufacturing
Major obstacle,0,2019,30,6,Manufacturing
No obstacle,0,2017,7,5,Manufacturing
No obstacle,0,2005,20,6,Manufacturing
Minor obstacle,0,1996,28,7,Manufacturing
No obstacle,0,1965,40,6,Manufacturing
Minor obstacle,0,2020,2,5,Manufacturing
No obstacle,100,2010,14,5,Manufacturing
No obstacle,80,2021,20,6,Manufacturing
Major obstacle,0,1972,60,12,Manufacturing
No obstacle,0,2007,10,5,Manufacturing
Minor obstacle,0,1994,5,10,Manufacturing
No obstacle,100,2018,5,5,Other services
Minor obstacle,0,2015,9,7,Other services
